URL,Restaurante,Endereco,Bairro,Cidade,UF,CEP,Data_Scraping
https://www.ifood.com.br/delivery/uberlandia-mg/o-imperador-do-macarrao-saraiva/17402543-562a-46c6-ae28-e1bbfe3c9596,O Imperador do Macarrão,"Rua Machado de Assis, 1459",Saraiva,Uberlandia,MG,38408-378,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/bom-sabor-restaurante-planalto/1f6690ce-7496-4517-8d83-0cbfc3ed3850,Bom Sabor Restaurante,"Avenida Indaiá, 805",Planalto,Uberlandia,MG,38413-111,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/cremosinho-gourmet-da-rosi-tubalina/ea9ecc92-7278-4a93-b321-305875359dd5,Cremosinho Gourmet da Rosi,"R. Nossa Sra. de Fátima, 557",Tubalina,Uberlandia,MG,38412-084,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/chiquititas-sorvetes-e-cia-jardim-das-palmeiras/996ce575-43a6-4e27-bd62-6a5803b2b512,Chiquititas Sorvetes e Cia,"Avenida Paulo Firmino, 400",Jardim das Palmeiras,Uberlandia,MG,38412-343,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/rei-da-picanha-patrimonio/c60cad3c-9129-44e0-b012-b52b083a88e6,Rei da Picanha,"Rua Tijuca, 955",Patrimônio,Uberlandia,MG,38411-042,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/o-rei-das-parmegianas-massas-e-outros-saraiva/bcd5f30b-76e5-4fcd-ba15-ae565156d5ec,"O Rei das Parmegianas, Massas e Outros","Avenida João Naves de Ávila, 1730",Saraiva,Uberlandia,MG,38408-100,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/spoleto---uberlandia-shopping-morada-da-colina/f6a05f46-613c-436c-8492-febc1d2915f9,Spoleto - Uberlândia Shopping,"Avenida Paulo Gracindo, 15",Morada da Colina,Uberlandia,MG,38411-106,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/vivenda-do-camarao---udi-shopping-gavea/3aad04d7-ca3b-4c5f-b344-0dce4080cf55,Vivenda do Camarão - Udi Shopping,"Ave Paulo Gracindo, 15",Gavea,Uberlandia,MG,38411-145,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/doces-massas-e-caldos-fino-sabor-jaragua/c45191a3-eab8-42d4-9a9a-19eff1f8412e,Doces Massas e Caldos Fino Sabor,"Rua das Cerejeiras, 37",Jaraguá,Uberlandia,MG,38413-096,2025-06-15 15:15:41
https://www.ifood.com.br/delivery/uberlandia-mg/capitao-camarao---udi-shopping-gavea/7e182fda-ffb2-4a44-b3b6-925c7ee8537d,Capitão Camarão - Udi Shopping,"Ave Paulo Gracindo, 15",Gavea,Uberlandia,MG,38411-145,2025-06-15 15:15:41
